(0, BURNHAM HOUSE, 1610, WASHINGTON HTS, ANN ARBOR, MI, 48104-1700, 42.2804539, -83.7278092, 1000010, 0),
(368, IST GAS STORAGE BUILDING, 2200, BONISTEEL BLVD, ANN ARBOR, MI, 48109-2099, 42.2895734, -83.7144789, 1000434, 0),
(369, PLANT STORAGE BUILDING #1, 326, HOOVER AVE, ANN ARBOR, MI, 48109-1002, 42.2694603, -83.7462744, 1008050, 0),
(370, PLANT STORAGE BUILDING #2, 326, HOOVER AVE, ANN ARBOR, MI, 48109-1002, 42.2694603, -83.7462744, 1008051, 0),
(371, COURTYARD SHOPS, 1667, PLYMOUTH RD STE 1709, ANN ARBOR, MI, 48105, 42.2972196, -83.7291721, 1005496, 0),
(372, NORTH CAMPUS FACILITIES SERVICES BUILDING, 3231, BAXTER RD, ANN ARBOR, MI, 48109-2127, 42.2985469, -83.6978888, 1002506, 0),
(373, CRISLER CENTER, 333, STADIUM BLVD, ANN ARBOR, MI, 48104, 42.2640716, -83.7522512, 1000700, 0),
(374, WYLY SAM HALL, 724, UNIVERSITY AVE, ANN ARBOR, MI, 48104-3007, 42.2723653, -83.7361288, 1000135, 0),
(375, HURON VALLEY PROFESSIONAL CENTER, 2076-2098, MAIN ST, ANN ARBOR, MI, 48103-5827, 0.0, 0.0, 1008112, 0),
(376, TRAVERWOOD, 2401, PLYMOUTH RD, ANN ARBOR, MI, 48105-2193, 42.3013481, -83.7135258, 1008162, 0),
(377, INDOOR TRAINING CENTER, 1150, STATE ST, ANN ARBOR, MI, 48104, 42.2683343, -83.7406275, 1000703, 0),
(378, GOLF COURSE MAINTENANCE BUILDING, 500, STADIUM BLVD, ANN ARBOR, MI, 48109, 42.2642009, -83.7536208, 1005100, 0),
(379, CENTRAL CAMPUS SWITCHING STATION, 110, WASHTENAW AVE, ANN ARBOR, MI, 48109, 42.2835343, -83.7492727, 1005421, 0),
(380, ANN STREET PARKING STRUCTURE, 1115, ANN ST, ANN ARBOR, MI, 48104-1617, 42.2823462, -83.7351491, 1005132, 0),
(381, HOOVER ANNEX, 326, HOOVER AVE, ANN ARBOR, MI, 48109-1002, 42.2694603, -83.7462744, 1000804, 0),
(382, NICHOLS ARBORETUM RESIDENCE, 1827, GEDDES AVE, ANN ARBOR, MI, 48104-1711, 42.2758077, -83.7251784, 1000005, 0),
(383, MOORE EARL V BLDG, 1100, BAITS DR, ANN ARBOR, MI, 48109-2085, 42.2903818, -83.7209734, 1000440, 0),
(384, CATHERINE ST PARKING STRUCTURE, 1120, CATHERINE ST, ANN ARBOR, MI, 48104-1622, 42.2830997, -83.7348657, 1000258, 0),
(385, 304 E MADISON ST, 304, MADISON ST, ANN ARBOR, MI, 48104, 0.0, 0.0, 1005552, 0),
(386, 2  MARSHALL CT, 2, MARSHALL CT, ANN ARBOR, MI, 48104, 42.2735175, -83.744678, 1005562, 0),
(387, FIELD HOCKEY TEAM CENTER, 1450, STATE ST, ANN ARBOR, MI, 48109, 42.263422, -83.7405203, 1005357, 0),
(388, MICHIGAN MEMORIAL PHOENIX PROJECT LABORATORY, 2301, BONISTEEL BLVD, ANN ARBOR, MI, 48109-2100, 42.2907856, -83.7147447, 1000404, 0),
(389, NORTH CAMPUS RESEARCH COMPLEX BUILDING 60, 2800, PLYMOUTH RD, ANN ARBOR, MI, 48109-2800, 42.3024883, -83.7057586, 1005270, 0),
(390, OH CHEEVER ADELIA RESIDENCE, 605, OXFORD RD, ANN ARBOR, MI, 48104-2634, 42.275242, -83.72598, 1000042, 0),
(391, OH EMANUEL JULIA ESTHER RESIDENCE, 613, OXFORD RD, ANN ARBOR, MI, 48104-2634, 42.2749456, -83.7250683, 1000044, 0),
(392, 309 MAYNARD, 309, MAYNARD ST, ANN ARBOR, MI, 48104 2211, 42.2790546, -83.7418415, 1005024, 0),
(393, SCHOOL OF NURSING BUILDING 1, 400, INGALLS ST, ANN ARBOR, MI, 48109-2003, 42.2839188, -83.73779, 1000333, 0),
(394, NEAL HOMER A LABORATORY, 450, CHURCH ST, ANN ARBOR, MI, 48109-1040, 42.276565, -83.7368174, 1005517, 0),
(395, ARBOR LAKES 1, 4251, PLYMOUTH RD, ANN ARBOR, MI, 48105-2789, 42.2921349, -83.736384, 1008079, 0),
(396, HUBBARD ST RECREATION FIELDS OFFICE UNIT D, 1451, HUBBARD ST, ANN ARBOR, MI, 48109, 42.2953195, -83.7047363, 1005584, 0),
(397, NEW CHILD CARE CENTER TEMP CONSTRUCTION TRAILER 1,  ,  , ANN ARBOR, MI, 48109, 42.2813722, -83.7484616, 1080010, 0),
(398, UNIVERSITY HOSPITAL SOUTH UNIT 1, 1521, SIMPSON DR, ANN ARBOR, MI, 48109, 42.2829602, -83.7293279, 1000309, 0),
(399, LORCH HALL, 611, TAPPAN ST, ANN ARBOR, MI, 48109-1220, 0.0, 0.0, 1000154, 0),
(400, BENTLEY ALVIN M AND ARVELLA D HISTORICAL LIBRARY, 1150, BEAL AVE, ANN ARBOR, MI, 48109-2113, 42.28953, -83.7122988, 1000439, 0),
(401, 144 E HOOVER AVENUE, 144, HOOVER AVE, ANN ARBOR, MI, 48104, 42.2692212, -83.7481233, 1005607, 0),
(402, SIMPSON CIRCLE PARKING STRUCTURE, 1535, HOSPITAL DR, ANN ARBOR, MI, 48109, 42.2823309, -83.7285233, 1000320, 0),
(403, LURIE ANN AND ROBERT H TOWER, 1230, MURFIN AVE, ANN ARBOR, MI, 48109-1289, 42.2912049, -83.7183522, 1000394, 0),
(404, POWER CENTER FOR PERFORMING ARTS, 121, FLETCHER ST, ANN ARBOR, MI, 48109-2017, 42.2808512, -83.735752, 1000180, 0),
(405, UMH MODULAR OFFICE A, 1500, MEDICAL CENTER DR, ANN ARBOR, MI, 48109-5000, 42.2821095, -83.7273205, 1005051, 0),
(406, BRIARWOOD 1, 475, MARKET PL, ANN ARBOR, MI, 48108-1649, 42.2430735, -83.7418885, 1008076, 0),
(407, 333  JOHN ST, 333, JOHN ST, ANN ARBOR, MI, 48104, 42.2731141, -83.7454266, 1005547, 0),
(408, NORTH EAST CORPORATE CENTER 1, 2600, GREEN RD, ANN ARBOR, MI, 48105-1573, 42.3101896, -83.691697, 1005050, 0),
(409, CAMPUS SAFETY SERVICES BUILDING, 1239, KIPKE DR, ANN ARBOR, MI, 48109-2036, 42.2650061, -83.7438263, 1000742, 0),
(410, NORTH CAMPUS RESEARCH COMPLEX BUILDING 520, 1600, HURON PKWY, ANN ARBOR, MI, 48109-2800, 42.297726, -83.704761, 1005281, 0),
(411, FOREST SWITCHING STATION, 510, FOREST AVE, ANN ARBOR, MI, 48104-2532, 42.2755581, -83.7331894, 1000252, 0),
(412, CHURCH ST PARKING STRUCTURE, 525, CHURCH ST, ANN ARBOR, MI, 48104-2572, 42.2759913, -83.7344966, 1000257, 0),
(413, AEROSPACE ENGINEERING LAB WIND TUNNEL LAB, 2611, DRAPER DR, ANN ARBOR, MI, 48109-2101, 42.2935305, -83.7102615, 1000421, 0),
(414, RUTHVEN ALEXANDER G BUILDING, 1109, GEDDES AVE, ANN ARBOR, MI, 48109-1079, 42.2781547, -83.7347356, 1000193, 0),
(415, 146 E HOOVER AVENUE, 146, HOOVER AVE, ANN ARBOR, MI, 48104, 42.269235, -83.7480105, 1005608, 0),
(416, 1100 NORTH UNIVERSITY BUILDING, 1100, UNIVERSITY AVE, ANN ARBOR, MI, 48109-1005, 42.2774345, -83.7354407, 1000188, 0),
(417, LEINWEBER COMPUTER SCIENCE AND INFORMATION BLDG, 2200, HAYWARD ST, ANN ARBOR, MI, 48109, 42.2938877, -83.7146743, 1005504, 0),
(418, CENTRAL CAMPUS CLASSROOM BUILDING, 1225, GEDDES AVE, ANN ARBOR, MI, 48109, 42.2780386, -83.7339541, 1005451, 0),
(419, 305 W LIBERTY, 305, LIBERTY ST, ANN ARBOR, MI, 48103-4340, 42.2795831, -83.7458574, 1005324, 0),
(420, CLIMATE CONTROL INDOOR STORAGE, 490, MAPLE RD, ANN ARBOR, MI, 48103, 42.2765323, -83.78055, 1005361, 0),
(421, WALL STREET EAST PARKING STRUCTURE, 1041, MAIDEN LN, ANN ARBOR, MI, 48105, 42.2883497, -83.734573, 1005193, 0),
(422, BUHR BUILDING, 200, HILL ST, ANN ARBOR, MI, 48104-3217, 42.270642, -83.7467561, 1000799, 0),
(423, SHARED SERVICES CENTER, 1000, VICTORS WAY, ANN ARBOR, MI, 48108-1364, 42.2387778, -83.7320624, 1005288, 0),
(424, KELLOGG W K EYE CENTER, 1000, WALL ST, ANN ARBOR, MI, 48105-1910, 42.288225, -83.7373099, 1000324, 0),
(425, MCITY AUXILIARY BUILDING, 1929, GREEN RD, ANN ARBOR, MI, 48109-3204, 42.3029606, -83.6927199, 1002502, 0),
(426, CARDIOVASCULAR CENTER PARKING STRUCTURE, 1421, ANN ST, ANN ARBOR, MI, 48109, 42.2822883, -83.7340701, 1005146, 0),
(427, TELECOMMUNICATIONS BLDG I, 2100, STONE RD, ANN ARBOR, MI, 48105-2535, 42.2948518, -83.700125, 1002515, 0),
(428, NICHOLS ARBORETUM GAR WORKSHOP, 1827, GEDDES AVE, ANN ARBOR, MI, 48104-1711, 42.2758077, -83.7251784, 1000007, 0),
(429, PERRY BUILDING, 330, PACKARD ST, ANN ARBOR, MI, 48104-2910, 42.2745741, -83.7452898, 1000890, 0),
(430, VICTORS CARE CLINIC, 2211, OLD EARHART RD, ANN ARBOR, MI, 48105-2963, 42.3056305, -83.6843015, 1005436, 0),
(431, ARGUS BUILDING II, 400, 4TH ST, ANN ARBOR, MI, 48103-4816, 0.0, 0.0, 1000831, 0),
(432, NORTH CAMPUS RESEARCH COMPLEX BUILDING 15, 2800, PLYMOUTH RD, ANN ARBOR, MI, 48109-2800, 42.3024883, -83.7057586, 1005255, 0),
(433, CIT TEMPORARY CONSTRUCTION TRAILER, 101, SIMPSON DR, ANN ARBOR, MI, 48109, 42.2829851, -83.7306378, 1080020, 0),
(434, FRANKEL JUDY AND STANLEY DETROIT OBSERVATORY, 1398, ANN ST, ANN ARBOR, MI, 48109-2051, 42.2819755, -83.7316803, 1000198, 0),
(435, FIELD HOCKEY TICKET OFFICE, 1400, STATE ST, ANN ARBOR, MI, 48109, 42.264028, -83.740512, 1005359, 0),
(436, REVELLI TEMPORARY STORAGE BUILDING, 344, HOOVER AVE, ANN ARBOR, MI, 48109, 42.2694647, -83.746132, 1005426, 0),
(437, HILL AUDITORIUM, 825, UNIVERSITY AVE, ANN ARBOR, MI, 48109-1004, 42.2791779, -83.7390789, 1000177, 0),
(438, RADRICK FARMS PUMP HOUSE, 4875, GEDDES RD, ANN ARBOR, MI, 48105-9515, 42.276735, -83.6927807, 1000954, 0),
(439, RADRICK FARMS GOLF CLUBHOUSE, 4895, GEDDES RD, ANN ARBOR, MI, 48105-9515, 42.276735, -83.6927807, 1000963, 0),
(440, RADRICK FARMS GOLF STORAGE BLDG, 4895, GEDDES RD, ANN ARBOR, MI, 48105-9515, 42.276735, -83.6927807, 1000971, 0),
(441, HANDICRAFT BUILDING, 339, LIBERTY ST, ANN ARBOR, MI, 48104-2258, 42.2795589, -83.7452577, 1008101, 0),
(442, CENTRAL CAMPUS RESIDENTIAL DEVELOPMENT BUILDING 1, 310, HILL ST, ANN ARBOR, MI, 48109, 42.2716502, -83.7461875, 1005614, 0),
(443, 316 E MADISON ST, 316, MADISON ST, ANN ARBOR, MI, 48104, 42.2740564, -83.7459378, 1005555, 0),
(444, 503 CHURCH STREET, 503, CHURCH ST, ANN ARBOR, MI, 48109, 42.2766896, -83.7344249, 1005604, 0),
(445, UNIVERSITY HOSPITALS HELIPAD, 1500, MEDICAL CENTER DR, ANN ARBOR, MI, 48109-5000, 42.2821095, -83.7273205, 1005012, 0),
(446, 6  MARSHALL CT, 6, MARSHALL CT, ANN ARBOR, MI, 48104, 42.2735175, -83.744678, 1005565, 0),
(447, THAYER ST PARKING STRUCTURE, 216, THAYER ST, ANN ARBOR, MI, 48104-1608, 42.282376, -83.7395701, 1000259, 0),
(448, ROGEL CANCER CENTER, 1400, MEDICAL CENTER DR, ANN ARBOR, MI, 48109, 42.2844055, -83.7313006, 1000301, 0),
(449, 555 BRIARWOOD CIRCLE, 555, BRIARWOOD CIR, ANN ARBOR, MI, 48108, 42.2417143, -83.7410381, 1005449, 0),
(450, BLAU JEFF T HALL, 700, UNIVERSITY AVE, ANN ARBOR, MI, 48109, 42.278509, -83.740595, 1005370, 0),
(451, NORTH CAMPUS RESEARCH COMPLEX BUILDING 26, 2800, PLYMOUTH RD, ANN ARBOR, MI, 48109-2800, 42.3024883, -83.7057586, 1005263, 0),
(452, 606 S DIVISION ST, 606, DIVISION ST, ANN ARBOR, MI, 48104, 42.2738958, -83.7444354, 1005526, 0),
(453, 732 S DIVISION ST, 732, DIVISION ST, ANN ARBOR, MI, 48104, 42.2721332, -83.7444993, 1005536, 0),
(454, BIOLOGICAL SCIENCES BUILDING, 1105, UNIVERSITY AVE, ANN ARBOR, MI, 48109-1085, 42.2788567, -83.7342551, 1005169, 0),
(455, 317 MAYNARD ST, 317, MAYNARD ST, ANN ARBOR, MI, 48104-2211, 42.2786712, -83.7418742, 1005516, 0),
(456, GINSBERG EDWARD AND ROSALIE BUILDING, 1024, HILL ST, ANN ARBOR, MI, 48109-3310, 42.2719364, -83.7365942, 1005507, 0),
(457, NORTH CAMPUS CHILDRENS CENTER, 2800, PLYMOUTH RD, ANN ARBOR, MI, 48109-2800, 42.3024883, -83.7057586, 1005018, 0),
(458, MULTI-SPORT SUPPORT BUILDING, 1124, STATE ST, ANN ARBOR, MI, 48109, 42.2686503, -83.7406402, 1005503, 0),
(459, MATTHAEI BOT GDNS GREENHOUSE #3, 1800, DIXBORO RD, ANN ARBOR TWP, MI, 48105-9741, 42.299677, -83.6618325, 1000988, 0),
(460, HURON BANK, 777, UNIVERSITY AVE, ANN ARBOR, MI, 48104-1608, 42.2787569, -83.7397245, 1000837, 0),
(461, ALUMNI MEMORIAL HALL, 525, STATE ST, ANN ARBOR, MI, 48109-1354, 42.2755914, -83.7398377, 1000151, 0),
(462, OH GODDARD MARY ALICE AND LILLIAN HALL, 619, OXFORD RD, ANN ARBOR, MI, 48104-2655, 42.2748172, -83.7256969, 1000040, 0),
(463, 804 MONROE ST, 804, MONROE ST, ANN ARBOR, MI, 48104, 42.2731268, -83.7390616, 1005578, 0),
(464, TOWSLEY CENTER FOR CONTINUING MEDICAL EDUCATION, 1515, HOSPITAL DR, ANN ARBOR, MI, 48109, 42.2836295, -83.7288983, 1000313, 0),
(465, MED CTR N ENTRANCE PARKING STRUCTURE, 1300, MEDICAL CENTER DR, ANN ARBOR, MI, 48109, 42.2814904, -83.7303248, 1000300, 0),
(466, 1117-1119 OLIVIA AVE, 1117-1119, OLIVIA AVE, ANN ARBOR, MI, 48104, 42.2683172, -83.7314659, 1005443, 0),
(467, NORTH CAMPUS RESEARCH COMPLEX BUILDING 32, 2800, PLYMOUTH RD, ANN ARBOR, MI, 48109-2800, 42.3024883, -83.7057586, 1005432, 0),
(468, UNIV HOSPITALS CHILD CARE CENTER, 2601, GLAZIER WAY, ANN ARBOR, MI, 48105-2466, 42.288444, -83.7076443, 1000390, 0),
(469, 336 E MADISON ST, 336, MADISON ST, ANN ARBOR, MI, 48104, 42.2740631, -83.7455812, 1005573, 0),
(470, MITCHELL FIELD BUILDING, 1900, FULLER RD, ANN ARBOR, MI, 48105, 42.287077, -83.723668, 1002500, 0),
(471, NEW CHILD CARE CENTER, 1003, CORNWELL PLACE, ANN ARBOR, MI, 48104, 42.2846393, -83.7369619, 1005613, 0),
(472, INSTITUTE OF CONTINUING LEGAL ED, 1020, GREENE ST, ANN ARBOR, MI, 48109-1444, 42.2685089, -83.7479075, 1000814, 0),
(473, BAGNOUD FRANCOIS-XAVIER BUILDING, 1320, BEAL AVE, ANN ARBOR, MI, 48109-2140, 42.2934432, -83.7121011, 1000395, 0),
(474, 719 W ELLSWORTH ROAD, 719, ELLSWORTH RD, ANN ARBOR, MI, 48108-1663, 42.2297137, -83.7278474, 1005353, 0),
(475, OH NOBLE PAMELA RESIDENCE, 615, OXFORD RD, ANN ARBOR, MI, 48104-2622, 42.2746948, -83.7250616, 1000045, 0),
(476, BURSLEY JOSEPH A AND MARGUERITE K HALL, 1931, DUFFIELD ST, ANN ARBOR, MI, 48109-2080, 42.2938025, -83.7198915, 1000555, 0),
(477, 338 JOHN ST, 338, JOHN ST, ANN ARBOR, MI, 48104, 0.0, 0.0, 1005593, 0),
(478, HOOVER ST AUTO REPAIR, 142, HOOVER AVENUE, ANN ARBOR, MI, 48104, 42.269064, -83.7482097, 1005610, 0),
(479, CARRIAGE HOUSE, 1224, WASHTENAW CT, ANN ARBOR, MI, 48104, 42.2766408, -83.7338494, 1005567, 0),
(480, UM TRANSPORTATION RESEARCH TESTING BUILDING, 2901, BAXTER RD, ANN ARBOR, MI, 48109, 42.2980756, -83.7031293, 1005338, 0),
(481, 3941 RESEARCH PARK DRIVE, 3941, RESEARCH PARK DR, ANN ARBOR, MI, 48108, 42.2359174, -83.7335265, 1005579, 0),
(482, HILLSIDE TOWNE CENTER, 201, DIVISION ST, ANN ARBOR, MI, 48104-2201, 42.282433, -83.743859, 1005096, 0),
(483, MICHIGAN SQUARE, 330, LIBERTY ST, ANN ARBOR, MI, 48104-2274, 42.2792559, -83.7447969, 1000819, 0),
(484, REVELLI WILLIAM D BAND REHEARSAL HALL, 350, HOOVER AVE, ANN ARBOR, MI, 48104-3707, 42.2692165, -83.7446964, 1000813, 0),
(485, NORTH CAMPUS GROUND SVC FACILITY, 2550, DRAPER DR, ANN ARBOR, MI, 48109-2115, 42.2929504, -83.7101313, 1002514, 0),
(486, ENVIRONMENTAL AND WATER RESOURCES ENGINEERING BL, 1351, BEAL AVE, ANN ARBOR, MI, 48109-2138, 42.2927445, -83.7134106, 1000414, 0),
(487, 327  JOHN ST, 327, JOHN ST, ANN ARBOR, MI, 48104, 42.2731141, -83.7454266, 1005544, 0),
